=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-6-24_20-21-8
====================================================================================
20:21:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:21:8 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
20:21:8 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
20:21:8 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
20:21:8 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
20:21:8 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
20:21:8 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
20:21:8 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
20:21:8 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
20:21:8 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
20:21:8 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
20:21:8 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
20:21:8 | [PermissionManager] Perm (MenuBansManager) has been registered!
20:21:8 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
20:21:8 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
20:21:8 | [PermissionManager] Perm (MenuWebHooks) has been registered!
20:21:8 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:21:8 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:21:8 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:21:8 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:21:8 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:21:8 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:21:8 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:21:8 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:21:8 | [PermissionManager] Adding Super Admin (76561198190486863)
20:21:8 | [PermissionManager] Adding Super Admin (76561198859186484)
20:21:8 | [PermissionManager] Loaded UserGroups.json
20:21:8 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:21:8 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:21:8 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:21:8 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:21:8 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:21:8 | Building Sets Loaded: 1
20:21:8 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:21:8 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
20:21:57 | Player "Guy" (steamId=76561198025528169) connected to server!
20:22:5 | Player "FriendlyGuy" (steamId=76561197993327355) connected to server!
20:22:14 | Player "UrMOMgoes2College" (steamId=76561199498715649) connected to server!
20:22:54 | Player "talonhawkbird" (steamId=76561198801193311) connected to server!
20:40:58 | Player "FriendlyGuy" (steamId=76561197993327355) initiated disconnect process...
20:40:59 | Player "FriendlyGuy" (steamId=76561197993327355) disconnected early from server (EXIT NOW).
20:51:19 | Player "Guy" (steamId=76561198025528169) initiated disconnect process...
20:51:22 | Player "Guy" (steamId=76561198025528169) disconnected early from server (EXIT NOW).
20:56:51 | Player "ChocoTuga" (steamId=76561199104773928) connected to server!
21:3:46 | Player "ChocoTuga" (steamId=76561199104773928) initiated disconnect process...
21:4:1 | Player "ChocoTuga" (steamId=76561199104773928) disconnected from server.
21:25:35 | Player "UrMOMgoes2College" (steamId=76561199498715649) initiated disconnect process...
21:25:37 | Player "UrMOMgoes2College" (steamId=76561199498715649) disconnected early from server (EXIT NOW).
